wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,20.0,MES,5,1,0.0391,255940.0,330058.0,0.7754394682146775
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,20.0,MES,5,1,0.0381,242405.0,310009.0,0.781928911741272
2,control,buffer_blank,SDS,TTAB,,,,,0.0,,,0.0,0.0,200.0,MES,5,1,0.0385,379876.0,438817.0,0.8656820496926965
3,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,20.0,MES,5,1,0.0382,279232.0,313015.0,0.8920722649074325
4,experiment,experiment,SDS,TTAB,0.0001,0.0001,SDS_dilution_5,0.001,20.0,TTAB_dilution_5,0.001,20.0,140.0,20.0,MES,5,1,0.0391,282087.0,323269.0,0.8726076425515592
5,experiment,experiment,SDS,TTAB,0.0001,0.002177938587346432,SDS_dilution_5,0.001,20.0,TTAB_dilution_4,0.007,62.226816781326626,97.77318321867338,20.0,MES,5,1,0.038,289452.0,329165.0,0.8793523005179773
6,experiment,experiment,SDS,TTAB,0.0001,0.0474341649025257,SDS_dilution_5,0.001,20.0,TTAB_dilution_2,0.30000000000000004,31.622776601683796,128.3772233983162,20.0,MES,5,1,0.0379,243614.0,272814.0,0.8929673697097656
7,experiment,experiment,SDS,TTAB,0.0001,1.033086980997645,SDS_dilution_5,0.001,20.0,TTAB_dilution_0,10.0,20.661739619952904,139.3382603800471,20.0,MES,5,1,0.0388,208503.0,233783.0,0.8918655334220196
8,experiment,experiment,SDS,TTAB,0.0001,22.5,SDS_dilution_5,0.001,20.0,TTAB_stock,50.0,90.0,70.0,20.0,MES,5,1,0.0385,217194.0,272977.0,0.7956494503199903
9,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0001,SDS_dilution_4,0.007,62.226816781326626,TTAB_dilution_5,0.001,20.0,97.77318321867338,20.0,MES,5,1,0.0381,327317.0,372338.0,0.8790856694723611
10,experiment,experiment,SDS,TTAB,0.002177938587346432,0.002177938587346432,SDS_dilution_4,0.007,62.226816781326626,TTAB_dilution_4,0.007,62.226816781326626,55.54636643734675,20.0,MES,5,1,0.038,209588.0,230345.0,0.9098873428986954
